PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
2015 SSO,Reports,SSO 2015 Reports,Reports,NULL,Anchorage,AK,99503,NULL
2014 SSO,Reports,2014 SSO Reports,Reports,NULL,Anchorage,AK,99503,NULL
FA0000003,BAKE SHOP THE,FA0000003,BAKE SHOP THE,194 OLYMPIC MOUNTAIN LP #CCI,GIRDWOOD,AK,NULL,60A
FA0000004,EAGLE RIVER SNACK BAR,FA0000004,EAGLE RIVER SNACK BAR,12130 REGENCY DR,EAGLE RIVER,AK,99577-7712,50B
FA0000005,CARRS #1806 - RETAIL FISH,FA0000005,CARRS #1806 - RETAIL FISH,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000009,CARRS #1806 - CHINESE KITCHEN,FA0000009,CARRS #1806 - CHINESE KITCHEN,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000011,Judy's Café,FA0000011,Judy's Café,11620 Old Seward Hwy,ANCHORAGE,AK,99515,07E
FA0000012,STRAIGHT OUT OF PHILLY ALASKA LLC,FA0000012,STRAIGHT OUT OF PHILLY ALASKA LLC,210 E FIREWEED LN,ANCHORAGE,AK,99503-2734,03B
FA0000014,CARRS #1802 - DELI,FA0000014,CARRS #1802 - DELI,1340 GAMBELL ST,ANCHORAGE,AK,99501-4630,02B
FA0000016,HAMBURGER HAVEN,FA0000016,HAMBURGER HAVEN,718 MULDOON RD,ANCHORAGE,AK,99504-2030,04H
FA0000017,FLIGHT DECK PIZZA,FA0000017,FLIGHT DECK PIZZA,832 W INTERNATIONAL AIRPORT RD,ANCHORAGE,AK,99518-1001,08A
FA0000020,CARRS #1812 - SALAD BAR,FA0000020,CARRS #1812 - SALAD BAR,4000 W DIMOND BLVD,ANCHORAGE,AK,99502-1466,07F
FA0000021,Uncle Joe's Pizzeria #4,FA0000021,Uncle Joe's Pizzeria #4,3401 E TUDOR RD,ANCHORAGE,AK,99507-1282,04B
FA0000024,CHOPSTICK,FA0000024,CHOPSTICK,320 W 5TH AVE 414,ANCHORAGE,AK,99501-2345,01C
FA0000025,TOMMY'S BURGER STOP,FA0000025,TOMMY'S BURGER STOP,1106 W 29TH PL,ANCHORAGE,AK,99503-3746,03B
FA0000027,PIZZA HUT #D3,FA0000027,PIZZA HUT #D3,2207 E TUDOR RD,ANCHORAGE,AK,99507-1069,04B
FA0000031,BLAINES KITCHEN & SNACK BAR,FA0000031,BLAINES KITCHEN & SNACK BAR,3411 E TUDOR RD,ANCHORAGE,AK,99507,04B
FA0000032,GORSUCH BOY SCOUT CAMP,FA0000032,GORSUCH BOY SCOUT CAMP,22700 CAMP GORSUCH RD,CHUGIAK,AK,99567,NULL
FA0000033,DOWNTOWN SOUP KITCHEN,FA0000033,DOWNTOWN SOUP KITCHEN,434 E 4TH AVE,ANCHORAGE,AK,99501-2600,01C
FA0000035,AL'S ALASKAN INN,FA0000035,AL'S ALASKAN INN,7830 OLD SEWARD HWY,ANCHORAGE,AK,99518-3234,06A
FA0000036,SARA'S SANDWICHES,FA0000036,SARA'S SANDWICHES,5841 ARCTIC BLVD,ANCHORAGE,AK,99518-1688,08A
FA0000039,Baskins Robbins,FA0000039,Baskins Robbins,5678 DEBARR RD,ANCHORAGE,AK,99504,04E
FA0000049,GUMBO HOUSE,FA0000049,GUMBO HOUSE,611 W 9TH AVE,ANCHORAGE,AK,99501-3436,01C
FA0000053,CARRS #1802 - SALAD BAR,FA0000053,CARRS #1802 - SALAD BAR,1340 GAMBELL ST,ANCHORAGE,AK,99501-4630,02B
FA0000055,CARRS #1809 - DELI,FA0000055,CARRS #1809 - DELI,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0000058,CARRS #1813 - DELI,FA0000058,CARRS #1813 - DELI,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000059,"FALAFEL KING, THE",FA0000059,"FALAFEL KING, THE",930 GAMBELL ST A,ANCHORAGE,AK,99501-3759,02B
FA0000061,CARRS #1805 - DELI,FA0000061,CARRS #1805 - DELI,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0000064,GREAT ALASKA PIZZA CO.,FA0000064,GREAT ALASKA PIZZA CO.,11432 BUSINESS BLVD #14,EAGLE RIVER,AK,99577-7740,52B
FA0000065,Thai Kitchen,FA0000065,Thai Kitchen,3405 E TUDOR RD,ANCHORAGE,AK,99507,04B
FA0000067,CARRS #1806 - SALAD BAR,FA0000067,CARRS #1806 - SALAD BAR,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000070,CARRS #1813 - SALAD BAR,FA0000070,CARRS #1813 - SALAD BAR,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000071,BIG BOY EXPRESS MARKET,FA0000071,BIG BOY EXPRESS MARKET,3505 SPENARD RD,ANCHORAGE,AK,99503-3711,08B
FA0000073,CARRS #1809 - SALAD BAR,FA0000073,CARRS #1809 - SALAD BAR,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0000074,ALASKA ZOO,FA0000074,ALASKA ZOO,4731 OMALLEY RD,ANCHORAGE,AK,99507,NULL
FA0000079,CAPONE'S PIZZA,FA0000079,CAPONE'S PIZZA,2820 BONIFACE PKWY,ANCHORAGE,AK,99504-3131,04E
FA0000080,Subway of Alaska #4802,FA0000080,Subway of Alaska #4802,1330 HUFFMAN RD,ANCHORAGE,AK,99515-3597,06F
FA0000081,CARRS #1817 - SALAD BAR,FA0000081,CARRS #1817 - SALAD BAR,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0000082,CARRS #1817 - DELI,FA0000082,CARRS #1817 - DELI,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0000083,ANCHORAGE BOWL,FA0000083,ANCHORAGE BOWL,6311 DEBARR RD F,ANCHORAGE,AK,99504-1775,04H
FA0000088,CARRS #1813 - CHINESE KITCHEN,FA0000088,CARRS #1813 - CHINESE KITCHEN,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000092,CARRS #1812 - DELI,FA0000092,CARRS #1812 - DELI,4000 W DIMOND BLVD,ANCHORAGE,AK,99502-1466,07F
FA0000096,SUBWAY OF ALASKA #4803,FA0000096,SUBWAY OF ALASKA #4803,326 BONIFACE PKWY,ANCHORAGE,AK,99504-1080,04E
FA0000097,SUBWAY OF ALASKA #7527,FA0000097,SUBWAY OF ALASKA #7527,9001 JEWEL LAKE RD,ANCHORAGE,AK,99502-5391,07F
FA0000100,CHAMPION PIZZA,FA0000100,CHAMPION PIZZA,1120 HUFFMAN RD 5,ANCHORAGE,AK,99515-3516,07E
FA0000101,ZACK'S FAMOUS FROZEN YOGURT,FA0000101,ZACK'S FAMOUS FROZEN YOGURT,320 W 5TH AVE,ANCHORAGE,AK,99501-2345,01C
FA0000108,5TH AVENUE DELI,FA0000108,5TH AVENUE DELI,320 W 5TH AVE 410,ANCHORAGE,AK,99501-2345,01C
FA0000113,PIZZA HUT #D2,FA0000113,PIZZA HUT #D2,1921 W DIMOND BLVD 112,ANCHORAGE,AK,99515,07F
FA0000115,SICILY'S PIZZA,FA0000115,SICILY'S PIZZA,171 MULDOON RD 105,ANCHORAGE,AK,99504-5039,04I
FA0000119,PARTY TIME FOOD MART,FA0000119,PARTY TIME FOOD MART,5520 LAKE OTIS PKWY 107,ANCHORAGE,AK,99507-1777,04A
FA0000125,"SUGARSPOON, LLC, new name",FA0000125,"SUGARSPOON, LLC, new name",2601 SPENARD RD,ANCHORAGE,AK,99503-2308,03B
FA0000127,SUBWAY OF ALASKA #7526,FA0000127,SUBWAY OF ALASKA #7526,12110 BUSINESS BLVD,EAGLE RIVER,AK,99577-7741,52A
FA0000129,NEW SAGAYA MIDTOWN MARKET - DELI,FA0000129,NEW SAGAYA MIDTOWN MARKET - DELI,3700 OLD SEWARD HWY,ANCHORAGE,AK,99503-6037,08C
FA0000130,SICILY'S PIZZA,FA0000130,SICILY'S PIZZA,2220 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4104,02D
FA0000131,PIL'S DELI,FA0000131,PIL'S DELI,404 G ST,ANCHORAGE,AK,99501,01D
FA0000133,Yak & Yeti Himalayan Restaurant,FA0000133,Yak & Yeti Himalayan Restaurant,3301 SPENARD RD,ANCHORAGE,AK,99503-3707,03B
FA0000137,"BURGERS, WINGS & THINGS",FA0000137,"BURGERS, WINGS & THINGS",320 W 5TH AVE VC 18,ANCHORAGE,AK,99501-2345,01C
FA0000138,COSTCO WAREHOUSE PIZZA KITCHEN,FA0000138,COSTCO WAREHOUSE PIZZA KITCHEN,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,07H
FA0000141,JITTERS COFFEE STOP,FA0000141,JITTERS COFFEE STOP,700 W 6TH AVE,ANCHORAGE,AK,99501-2170,01C
FA0000144,"PHO LENA EXOTIC LAO,THAI & VIETNAME",FA0000144,"PHO LENA EXOTIC LAO,THAI & VIETNAME",2904 SPENARD RD,ANCHORAGE,AK,99503-3604,03B
FA0000146,JENS' RESTAURANT,FA0000146,JENS' RESTAURANT,701 W 36TH AVE 5/6,ANCHORAGE,AK,99503-5850,08C
FA0000147,BELLA VISTA,FA0000147,BELLA VISTA,20908 BILL STEPHENS DR,CHUGIAK,AK,99567-9415,NULL
FA0000149,CENTER CAFE,FA0000149,CENTER CAFE,3717 MINNESOTA DR,ANCHORAGE,AK,99503-5643,08B
FA0000151,CHILKOOT CHARLIE'S - SWING BAR,FA0000151,CHILKOOT CHARLIE'S - SWING BAR,2419 SPENARD RD,ANCHORAGE,AK,99503-1621,03C
FA0000153,DRAGON CUISINE,FA0000153,DRAGON CUISINE,11401 OLD GLENN HWY,EAGLE RIVER,AK,99577-7747,52C
FA0000157,MARX BROTHERS CAFE,FA0000157,MARX BROTHERS CAFE,627 W 3RD AVE,ANCHORAGE,AK,99501-2124,03B
FA0000158,JACK SPRAT,FA0000158,JACK SPRAT,165 OLYMPIC MOUNTAIN LP,GIRDWOOD,AK,99587,60A
FA0000160,F Street Station,FA0000160,F Street Station,325 F ST,ANCHORAGE,AK,99501,01E
FA0000161,PORTAGE GLACIER LODGE,FA0000161,PORTAGE GLACIER LODGE,401 PORTAGE LAKE LP,GIRDWOOD,AK,99587,NULL
FA0000162,Panda Restaurant,FA0000162,Panda Restaurant,605 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2809,03B
FA0000167,SWEET PINK PEPPER,FA0000167,SWEET PINK PEPPER,1553 S BRAGAW ST,ANCHORAGE,AK,99508,02F
FA0000169,SANDWICH DECK,FA0000169,SANDWICH DECK,400 K ST,ANCHORAGE,AK,99501-2016,01D
FA0000171,NORTHERN CHINA RESTAURANT,FA0000171,NORTHERN CHINA RESTAURANT,353 MULDOON RD,ANCHORAGE,AK,99504,041
FA0000172,Hula Hands Restaurant,FA0000172,Hula Hands Restaurant,4630 Mountain View Dr,ANCHORAGE,AK,99508-1822,02F
FA0000173,LITTLE ITALY,FA0000173,LITTLE ITALY,2300 E 88TH AVE,ANCHORAGE,AK,99507-3810,06C
FA0000174,JEWEL LAKE PIZZA & TEA GARDEN,FA0000174,JEWEL LAKE PIZZA & TEA GARDEN,9150 JEWEL LAKE RD,ANCHORAGE,AK,99502-5381,09B
FA0000176,GOLDEN DONUTS #2,FA0000176,GOLDEN DONUTS #2,2213 E TUDOR RD,ANCHORAGE,AK,99507-1067,04B
FA0000178,TITO'S GYROS RESTAURANT,FA0000178,TITO'S GYROS RESTAURANT,120 E 6TH AVE,ANCHORAGE,AK,99501-2524,01C
FA0000182,Lahn Pad-Thai Restaurant,FA0000182,Lahn Pad-Thai Restaurant,2101 Abbott Rd #7,ANCHORAGE,AK,99507-4623,06C
FA0000185,Kincaid Grill,FA0000185,Kincaid Grill,6700 JEWEL LAKE RD,ANCHORAGE,AK,99502-2071,05C
FA0000186,Los Arcos Restaurant,FA0000186,Los Arcos Restaurant,2000 E DOWLING RD 1,ANCHORAGE,AK,99507-1956,06B
FA0000187,JALAPENOS MEXICAN RESTAURANT,FA0000187,JALAPENOS MEXICAN RESTAURANT,11823 OLD GLENN HWY 116,EAGLE RIVER,AK,99577-7751,52B
FA0000188,COLD STONE CREAMERY,FA0000188,COLD STONE CREAMERY,12350 INDUSTRY WY 150,ANCHORAGE,AK,99515-3598,07E
FA0000192,TODAY'S PIZZA,FA0000192,TODAY'S PIZZA,4608 SPENARD RD,ANCHORAGE,AK,99517-3287,03C
FA0000194,WEE B'S LLC,FA0000194,WEE B'S LLC,1260 OMALLEY RD,ANCHORAGE,AK,99515-3033,06F
FA0000195,CAFE AMSTERDAM,FA0000195,CAFE AMSTERDAM,530 E BENSON BLVD,ANCHORAGE,AK,99503-4155,08C
FA0000203,SUBWAY OF ALASKA #3379,FA0000203,SUBWAY OF ALASKA #3379,3104 SEWARD HWY,ANCHORAGE,AK,99503-2217,08C
FA0000205,SNOW CITY CAFE,FA0000205,SNOW CITY CAFE,1034 W 4TH AVE,ANCHORAGE,AK,99501,01D
FA0000206,ARIGATO,FA0000206,ARIGATO,3315 SPENARD RD,ANCHORAGE,AK,99503-3707,03B
FA0000207,CYRANO'S CAFE,FA0000207,CYRANO'S CAFE,411 D ST,ANCHORAGE,AK,99501-2325,01D
FA0000210,WESTMARK - SOLSTICE CAFE,FA0000210,WESTMARK - SOLSTICE CAFE,720 W 5TH AVE,ANCHORAGE,AK,99501-2118,01C
FA0000211,"EL RODEO, INC",FA0000211,"EL RODEO, INC",385 MULDOON RD,ANCHORAGE,AK,99504,04I
FA0000220,SKI & BENNY PIZZA,FA0000220,SKI & BENNY PIZZA,820 BILBO ST,ANCHORAGE,AK,99501,01F
FA0000225,DENNY'S,FA0000225,DENNY'S,2900 DENALI ST,ANCHORAGE,AK,99503-4025,08C
FA0000227,ARCTIC ROADRUNNER #1,FA0000227,ARCTIC ROADRUNNER #1,2477 ARCTIC BLVD,ANCHORAGE,AK,99503-2513,03B
FA0000228,ARCTIC ROADRUNNER #2,FA0000228,ARCTIC ROADRUNNER #2,5300 OLD SEWARD HWY,ANCHORAGE,AK,99518-1455,04A
FA0000229,Moose's Tooth Pub & Pizzeria,FA0000229,Moose's Tooth Pub & Pizzeria,3300 Old Seward Hwy,ANCHORAGE,AK,99503-4129,08C
FA0000232,SICILY'S PIZZA,FA0000232,SICILY'S PIZZA,1201 E DIMOND BLVD,ANCHORAGE,AK,99515-2013,06C
FA0000235,VILLA NOVA RESTAURANT,FA0000235,VILLA NOVA RESTAURANT,5121 ARCTIC BLVD 1,ANCHORAGE,AK,99503-7051,08A
FA0000236,CAPTAIN COOK - THE PANTRY,FA0000236,CAPTAIN COOK - THE PANTRY,939 W 5TH AVE,ANCHORAGE,AK,99501-2032,01D
FA0000237,ORIENTAL EXPRESS,FA0000237,ORIENTAL EXPRESS,8010 OLD SEWARD HWY,ANCHORAGE,AK,99518-3347,06A
FA0000238,GOLDEN GATE,FA0000238,GOLDEN GATE,3471 E TUDOR RD,ANCHORAGE,AK,99507,04B
FA0000240,Jackie's Place,FA0000240,Jackie's Place,2636 Spenard Rd,ANCHORAGE,AK,99503-2336,03B
FA0000250,Wendy's #5,FA0000250,Wendy's #5,11310 OLD SEWARD HWY,ANCHORAGE,AK,99515-3038,06F
FA0000252,HIDEAWAY CLUB,FA0000252,HIDEAWAY CLUB,2828 W DIMOND BLVD,ANCHORAGE,AK,99502-1677,07F
FA0000254,Kobe Teppayaki House,FA0000254,Kobe Teppayaki House,3400 ARCTIC BLVD,ANCHORAGE,AK,99503-4525,08B
FA0000255,SORRENTO'S,FA0000255,SORRENTO'S,610 E FIREWEED LN,ANCHORAGE,AK,99503-2837,03B
FA0000257,CHINA LIGHTS ORIENTAL CUISINE LLC,FA0000257,CHINA LIGHTS ORIENTAL CUISINE LLC,12110 BUSINESS BLVD,EAGLE RIVER,AK,99577-7741,52A
FA0000258,SACKS' CAFE RESTAURANT,FA0000258,SACKS' CAFE RESTAURANT,328 G ST,ANCHORAGE,AK,99501,01D
FA0000259,WENDY'S #1,FA0000259,WENDY'S #1,2323 E 5TH AVE,ANCHORAGE,AK,99501-3030,02C
FA0000260,LUCKY WISHBONE,FA0000260,LUCKY WISHBONE,1033 E 5TH AVE,ANCHORAGE,AK,99501-2738,02B
FA0000261,Twin Dragon,FA0000261,Twin Dragon,612 E 15TH AVE,ANCHORAGE,AK,99501,02B
FA0000262,McDonald's,FA0000262,McDonald's,800 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-3713,03B
FA0000271,Pizza Plaza,FA0000271,Pizza Plaza,601 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2811,03B
FA0000274,VILLAGE INN #1,FA0000274,VILLAGE INN #1,1130 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4219,02D
FA0000279,DON JOSE'S MEXICAN RESTAURANT,FA0000279,DON JOSE'S MEXICAN RESTAURANT,2052 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4101,02D
FA0000280,Chuck E Cheese Pizza,FA0000280,Chuck E Cheese Pizza,308 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4024,08C
FA0000284,CHAIR 5,FA0000284,CHAIR 5,171 LINDBLAD AVE,GIRDWOOD,AK,99587,61C
FA0000286,PROVIDENCE HOSPITAL - CAFE SOLANGE,FA0000286,PROVIDENCE HOSPITAL - CAFE SOLANGE,3200 PROVIDENCE DR,ANCHORAGE,AK,99508-4615,02A
FA0000293,SUSHI YA,FA0000293,SUSHI YA,1111 E DIMOND BLVD,ANCHORAGE,AK,99515-2011,06C
FA0000295,SULLIVAN ARENA - NORTH MAIN,FA0000295,SULLIVAN ARENA - NORTH MAIN,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0000300,"PANCAKE HOUSE, THE",FA0000300,"PANCAKE HOUSE, THE",335 MULDOON RD,ANCHORAGE,AK,99504-1503,04I
FA0000303,"PERFECT CUP PLUS, THE",FA0000303,"PERFECT CUP PLUS, THE",800 E DIMOND BLVD 204,ANCHORAGE,AK,99515-2028,06A
FA0000307,NORDSTROM - CAFE EXPRESS,FA0000307,NORDSTROM - CAFE EXPRESS,603 D ST,ANCHORAGE,AK,99501-3521,01C
FA0000309,AK PACIFIC UNIVERSITY,FA0000309,AK PACIFIC UNIVERSITY,4101 UNIVERSITY DR,ANCHORAGE,AK,99508-4625,04C
FA0000311,PIZZA HUT #15 - EAGLE RIVER,FA0000311,PIZZA HUT #15 - EAGLE RIVER,11740 OLD GLENN HWY,EAGLE RIVER,AK,99577-7732,52A
FA0000322,GUIDOS PIZZA #2,FA0000322,GUIDOS PIZZA #2,549 W INTERNATIONAL AIRPORT RD,ANCHORAGE,AK,99518-1100,08A
FA0000326,Peking Wok,FA0000326,Peking Wok,3960 W DIMOND BLVD,ANCHORAGE,AK,99502,07F
FA0000327,Denny's,FA0000327,Denny's,3950 DEBARR RD,ANCHORAGE,AK,99508-3112,02F
FA0000330,ANCHORAGE SENIOR CENTER,FA0000330,ANCHORAGE SENIOR CENTER,1300 E 19TH AVE,ANCHORAGE,AK,99501-5713,02B
FA0000338,SIAM CUISINE,FA0000338,SIAM CUISINE,1911 W DIMOND BLVD,ANCHORAGE,AK,99515-1454,07F
FA0000339,Ichiban Japanese Restaurant,FA0000339,Ichiban Japanese Restaurant,2488 E TUDOR RD,ANCHORAGE,AK,99507,04B
FA0000346,GALLO'S MEXICAN RESTAURANT,FA0000346,GALLO'S MEXICAN RESTAURANT,8311 ARCTIC BLVD,ANCHORAGE,AK,99503,07H
FA0000350,BPX EXPLORATION CAFE,FA0000350,BPX EXPLORATION CAFE,900 E BENSON BLVD,ANCHORAGE,AK,99508-4254,08C
FA0000351,BEAN'S CAFE INC,FA0000351,BEAN'S CAFE INC,1101 E 3RD AVE,ANCHORAGE,AK,99501-2705,01E
FA0000352,Village Inn #2,FA0000352,Village Inn #2,720 W Dimond Blvd,ANCHORAGE,AK,99515-1501,07H
FA0000357,Dragon Seafood Restaurant and Grill,FA0000357,Dragon Seafood Restaurant and Grill,560 W TUDOR RD,ANCHORAGE,AK,99503-6606,08B
FA0000358,Popeyes Chicken and Biscuits,FA0000358,Popeyes Chicken and Biscuits,2960 C ST 100,ANCHORAGE,AK,99503-3970,08C
FA0000359,MCDONALD'S,FA0000359,MCDONALD'S,3828 W DIMOND BLVD,ANCHORAGE,AK,99502-1511,07F
FA0000364,ARBY'S,FA0000364,ARBY'S,800 E DIMOND BLVD 25,ANCHORAGE,AK,99515-2028,06A
FA0000366,WHALER,FA0000366,WHALER,171 MULDOON RD 107,ANCHORAGE,AK,99504-5039,04I
FA0000368,Dimond Bar-B-Q-Pit-Burned down,FA0000368,Dimond Bar-B-Q-Pit-Burned down,1160 W Dimond Blvd,ANCHORAGE,AK,99515-1504,07H
FA0000370,WENDY'S #9,FA0000370,WENDY'S #9,2927 SEWARD HWY,ANCHORAGE,AK,99503-4152,02D
FA0000374,ROUND TABLE PIZZA,FA0000374,ROUND TABLE PIZZA,800 E DIMOND BLVD,ANCHORAGE,AK,99515-2028,06A
FA0000377,DAWG HOUSE CAFE,FA0000377,DAWG HOUSE CAFE,20146 PILOTS RD B,CHUGIAK,AK,99567,NULL
FA0000378,Pizza Man #1,FA0000378,Pizza Man #1,16410 BROOKS LP 104,EAGLE RIVER,AK,99577,52B
FA0000380,Rice Bowl Restaurant,FA0000380,Rice Bowl Restaurant,810 E 6TH AVE,ANCHORAGE,AK,99501-2745,NULL
FA0000381,CARLOS MEXICAN RESTAURANT,FA0000381,CARLOS MEXICAN RESTAURANT,11401 OLD SEWARD HWY,ANCHORAGE,AK,99515-3041,06F
FA0000386,JEWEL LAKE TASTEE FREEZ,FA0000386,JEWEL LAKE TASTEE FREEZ,3901 RASPBERRY RD,ANCHORAGE,AK,99502-1976,05C
FA0000387,ALYESKA RESORT POND CAFE RESTAURANT,FA0000387,ALYESKA RESORT POND CAFE RESTAURANT,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0000388,ALYESKA RESORT TEPPANYAKI RESTAURAN,FA0000388,ALYESKA RESORT TEPPANYAKI RESTAURAN,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0000389,ALYESKA RESORT COURT BANQ KITCHEN,FA0000389,ALYESKA RESORT COURT BANQ KITCHEN,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0000391,ALYESKA RESORT GLACIER EXPRESS,FA0000391,ALYESKA RESORT GLACIER EXPRESS,1000 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0000393,ARCTIC VALLEY SKI AREA,FA0000393,ARCTIC VALLEY SKI AREA,18800 ARCTIC VALLEY RD,ANCHORAGE,AK,99577,N/A
FA0000396,HACIENDA MEXICAN RESTAURANT,FA0000396,HACIENDA MEXICAN RESTAURANT,6307 DEBARR RD,ANCHORAGE,AK,99504-1783,04H
FA0000397,Red Robin Restaurant,FA0000397,Red Robin Restaurant,401 E Dimond Blvd,ANCHORAGE,AK,99515-1911,07H
FA0000405,EGAN CONVENTION CENTER,FA0000405,EGAN CONVENTION CENTER,555 W 5TH AVE,ANCHORAGE,AK,99501-2247,01D
FA0000407,ALYESKA RESORT SITZMARK KITCHEN,FA0000407,ALYESKA RESORT SITZMARK KITCHEN,194 OLYMPIC MOUNTAIN LP,GIRDWOOD,AK,99587,60A
FA0000408,ALYESKA RESORT DAY LODGE,FA0000408,ALYESKA RESORT DAY LODGE,104 ARLBERG AVE,GIRDWOOD,AK,99587,60A
FA0000409,ROMANO'S,FA0000409,ROMANO'S,2415 C ST,ANCHORAGE,AK,99503-2643,02A
FA0000410,Piper's Restaurant,FA0000410,Piper's Restaurant,3450 Aviation Ave,ANCHORAGE,AK,99502-1002,05A
FA0000413,CAPTAIN COOK - MAIN KITCHEN,FA0000413,CAPTAIN COOK - MAIN KITCHEN,939 W 5TH AVE,ANCHORAGE,AK,99501-2032,01D
FA0000414,CAPTAIN COOK - CROWS NEST,FA0000414,CAPTAIN COOK - CROWS NEST,939 W 5TH AVE,ANCHORAGE,AK,99501-2032,01D
FA0000417,CLUB PARIS,FA0000417,CLUB PARIS,417 W 5TH AVE,ANCHORAGE,AK,99501-2309,01D
FA0000421,Kinley's Restaurant & Bar,FA0000421,Kinley's Restaurant & Bar,3230 Seward Hwy,ANCHORAGE,AK,99503-2217,08C
FA0000422,FIORI D'ITALIA,FA0000422,FIORI D'ITALIA,2502 MCRAE RD,ANCHORAGE,AK,99517-2508,03C
FA0000424,GWENNIES OLD ALASKA RESTAURANT,FA0000424,GWENNIES OLD ALASKA RESTAURANT,4333 SPENARD RD,ANCHORAGE,AK,99517-2910,03C
FA0000426,RAY'S PLACE LLC,FA0000426,RAY'S PLACE LLC,2412 SPENARD RD,ANCHORAGE,AK,99503-1622,03B
FA0000428,VFW POST 9785,FA0000428,VFW POST 9785,10527 VFW RD,EAGLE RIVER,AK,99577-8032,51A
FA0000430,La Cabana Restaurant,FA0000430,La Cabana Restaurant,312 E 4TH AVE,ANCHORAGE,AK,99501-2609,01C
FA0000433,OFFICE COCKTAIL LOUNGE,FA0000433,OFFICE COCKTAIL LOUNGE,545 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2839,03B
FA0000434,BLACK ANGUS STEAK HOUSE & LOUNGE,FA0000434,BLACK ANGUS STEAK HOUSE & LOUNGE,1430 GAMBELL ST,ANCHORAGE,AK,99501-5338,NULL
FA0000437,CAPTAIN COOK - FLETCHER'S,FA0000437,CAPTAIN COOK - FLETCHER'S,939 W 5TH AVE,ANCHORAGE,AK,99501-2032,01D
FA0000442,LONG BRANCH SALOON,FA0000442,LONG BRANCH SALOON,1737 E DIMOND BLVD,ANCHORAGE,AK,99507-3421,06C
FA0000445,ANCH HILTON - HOOPER BAY,FA0000445,ANCH HILTON - HOOPER BAY,500 W 3RD AVE,ANCHORAGE,AK,99501-2210,01E
FA0000449,ASIA GARDEN,FA0000449,ASIA GARDEN,7828 OLD SEWARD HWY,ANCHORAGE,AK,99518-3234,06A
FA0000450,SIMON & SEAFORTS,FA0000450,SIMON & SEAFORTS,420 L ST,ANCHORAGE,AK,99501-1937,01D
FA0000452,PETROLEUM CLUB OF ANCHORAGE,FA0000452,PETROLEUM CLUB OF ANCHORAGE,3301 C ST 100,ANCHORAGE,AK,99503-3935,08C
FA0000456,Taco Bell #18131,FA0000456,Taco Bell #18131,9001 Jewel Lake Rd,ANCHORAGE,AK,99502-5391,07F
FA0000457,Sheration Hotel - Jade,FA0000457,Sheration Hotel - Jade,401 E 6TH AVE,ANCHORAGE,AK,99501-2638,01C
FA0000459,SHERATON HOTEL - JOSEPHINES,FA0000459,SHERATON HOTEL - JOSEPHINES,401 E 6TH AVE,ANCHORAGE,AK,99501-2638,01C
FA0000461,SEA GALLEY RESTAURANT,FA0000461,SEA GALLEY RESTAURANT,4101 CREDIT UNION DR,ANCHORAGE,AK,99503-6637,08B
FA0000464,PANCHO'S VILLA,FA0000464,PANCHO'S VILLA,3104 SPENARD RD,ANCHORAGE,AK,99503-3608,03B
FA0000468,GARCIAS CANTINA - EAGLE RIVER,FA0000468,GARCIAS CANTINA - EAGLE RIVER,11901 BUSINESS BLVD 104,EAGLE RIVER,AK,99577-7701,52A
FA0000472,The Lakefront Anchorage- Flying Machine Restaurant,FA0000472,The Lakefront Anchorage- Flying Machine Restaurant,4800 Spenard Rd.,ANCHORAGE,AK,99517-3236,03C
